timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1586278676.868054,60,1,-26.85546875,-16.6015625,2.9296875,-9.27734375,0.0,0
1586278676.8719602,60,1,-27.83203125,-20.01953125,-6.34765625,-22.4609375,0.0,0
1586278676.8758664,60,1,-24.4140625,-43.9453125,-10.7421875,-27.83203125,0.0,0
1586278676.8797727,60,1,-18.5546875,-40.52734375,-23.92578125,-19.53125,0.0,0
1586278676.883679,60,1,-15.13671875,-14.16015625,-23.92578125,-9.765625,0.0,0
1586278676.8875852,60,1,-14.16015625,-23.4375,-28.80859375,-14.6484375,0.0,0
1586278676.8914914,60,1,-24.90234375,-43.9453125,-45.41015625,-22.4609375,0.0,0
1586278676.8953977,60,1,-35.64453125,-48.33984375,-27.34375,-30.76171875,0.0,0
1586278676.899304,60,1,-28.80859375,-42.96875,3.90625,-22.94921875,0.0,0
1586278676.9032102,60,1,-21.484375,-20.5078125,9.765625,-10.7421875,0.0,0
1586278676.9071164,60,1,-21.97265625,-31.73828125,-5.37109375,-17.08984375,0.0,0
1586278676.9110227,60,1,-21.484375,-46.875,-9.27734375,-12.6953125,0.0,0
1586278676.914929,60,1,-22.4609375,-12.20703125,-14.6484375,-15.625,0.0,0
1586278676.9188352,60,1,-27.34375,-8.30078125,-20.99609375,-18.06640625,0.0,0
1586278676.9227414,60,1,-24.4140625,-31.73828125,-22.4609375,-9.27734375,0.0,0
1586278676.9266477,60,1,-17.08984375,-24.90234375,-20.99609375,-2.44140625,0.0,0
1586278676.930554,60,1,-20.5078125,-35.15625,-17.08984375,-2.44140625,0.0,0
1586278676.9344602,60,1,-28.80859375,-21.97265625,-22.4609375,-11.23046875,0.0,0
1586278676.9383664,60,1,-29.296875,-33.203125,-24.90234375,-16.6015625,0.0,0
1586278676.9422727,60,1,-30.2734375,-69.82421875,-39.0625,-14.16015625,0.0,0
1586278676.946179,60,1,-34.66796875,-52.734375,-40.52734375,-4.8828125,0.0,0
1586278676.9500852,60,1,-35.15625,-24.4140625,2.44140625,-12.6953125,0.0,0
1586278676.9539914,60,1,-29.296875,-3.90625,1.46484375,-27.34375,0.0,0
1586278676.9578977,60,1,-28.80859375,-17.08984375,-33.203125,-31.73828125,0.0,0
1586278676.961804,60,1,-30.2734375,-32.2265625,-44.43359375,-28.80859375,0.0,0
1586278676.9657102,60,1,-28.80859375,-23.4375,-32.2265625,-23.4375,0.0,0
1586278676.9696164,60,1,-24.90234375,-20.5078125,-16.6015625,-26.3671875,0.0,0
1586278676.9735227,60,1,-18.5546875,-38.57421875,-36.62109375,-38.57421875,0.0,0
1586278676.977429,60,1,-17.08984375,-36.1328125,-40.0390625,-36.1328125,0.0,0
1586278676.9813352,60,1,-11.23046875,-18.5546875,-5.859375,-22.4609375,0.0,0
1586278676.9852414,60,1,-1.46484375,-21.97265625,-7.32421875,-12.6953125,0.0,0
1586278676.9891477,60,1,-4.8828125,-30.2734375,-24.90234375,-12.20703125,0.0,0
1586278676.993054,60,1,-16.11328125,-30.2734375,-31.25,-24.4140625,0.0,0
1586278676.9969602,60,1,-21.97265625,-16.11328125,-11.23046875,-28.80859375,0.0,0
1586278677.0008664,60,1,-21.484375,1.953125,-31.25,-13.18359375,0.0,0
1586278677.0047727,60,1,-12.6953125,-18.06640625,-33.203125,3.41796875,0.0,0
1586278677.008679,60,1,-12.6953125,-22.4609375,-8.7890625,0.0,0.0,0
1586278677.0125852,60,1,-19.04296875,-5.859375,-16.6015625,-17.08984375,0.0,0
1586278677.0164914,60,1,-25.87890625,-10.25390625,-17.08984375,-22.4609375,0.0,0
1586278677.0203977,60,1,-24.4140625,-13.18359375,2.9296875,-8.7890625,0.0,0
1586278677.024304,60,1,-19.53125,-45.41015625,3.90625,-6.34765625,0.0,0
1586278677.0282102,60,1,-26.3671875,-65.4296875,-35.64453125,-24.90234375,0.0,0
1586278677.0321164,60,1,-27.34375,-31.73828125,-51.7578125,-31.73828125,0.0,0
1586278677.0360227,60,1,-20.99609375,1.46484375,-26.85546875,-18.06640625,0.0,0
1586278677.039929,60,1,-9.765625,22.94921875,-21.484375,-6.8359375,0.0,0
1586278677.0438352,60,1,-8.7890625,10.25390625,-19.04296875,-9.765625,0.0,0
1586278677.0477414,60,1,-14.6484375,-13.18359375,-17.08984375,-10.7421875,0.0,0
1586278677.0516477,60,1,-12.6953125,-13.18359375,-54.19921875,-23.4375,0.0,0
1586278677.055554,60,1,-14.16015625,-11.71875,-62.01171875,-37.59765625,0.0,0
1586278677.0594602,60,1,-9.765625,-29.78515625,-43.45703125,-18.06640625,0.0,0
1586278677.0633664,60,1,-6.8359375,-19.04296875,5.37109375,-6.8359375,0.0,0
1586278677.0672727,60,1,-14.6484375,-18.5546875,8.7890625,-11.23046875,0.0,0
1586278677.071179,60,1,-23.4375,-53.7109375,-35.15625,-16.6015625,0.0,0
1586278677.0750852,60,1,-30.76171875,-42.48046875,-39.0625,-36.1328125,0.0,0
1586278677.0789914,60,1,-30.2734375,-10.25390625,-34.1796875,-33.203125,0.0,0
1586278677.0828977,60,1,-23.92578125,2.9296875,-22.4609375,-15.625,0.0,0
1586278677.086804,60,1,-22.4609375,-1.953125,-28.3203125,-18.06640625,0.0,0
1586278677.0907102,60,1,-21.97265625,-9.27734375,-29.78515625,-26.85546875,0.0,0
1586278677.0946164,60,1,-20.5078125,-14.16015625,-24.4140625,-23.92578125,0.0,0
