WORD,TERM,A,B,C,D
1,1,-206.0546875,53.22265625,75.68359375,18.5546875
1,1,-466.30859375,46.875,85.9375,-61.5234375
1,1,-286.1328125,46.875,83.0078125,10.7421875
1,1,96.19140625,55.17578125,88.37890625,149.90234375
1,1,130.37109375,45.41015625,98.14453125,175.29296875
1,1,-244.62890625,28.3203125,109.375,57.12890625
1,1,-564.453125,47.36328125,101.5625,-68.359375
1,1,-458.984375,62.98828125,90.33203125,-16.11328125
1,1,-80.078125,51.26953125,96.6796875,152.83203125
1,1,30.2734375,57.6171875,110.3515625,211.9140625
1,1,-324.21875,52.24609375,91.796875,65.91796875
1,1,-683.10546875,40.52734375,75.68359375,-72.265625
1,1,-611.328125,49.8046875,92.28515625,-17.08984375
1,1,-235.3515625,40.0390625,102.5390625,142.08984375
1,1,-82.51953125,14.6484375,93.75,197.75390625
1,1,-418.9453125,15.625,85.44921875,68.359375
1,1,-858.88671875,40.52734375,92.7734375,-52.24609375
1,1,-886.71875,50.78125,105.95703125,-6.8359375
1,1,-556.640625,42.96875,98.14453125,126.953125
1,1,-388.671875,32.71484375,84.9609375,187.01171875
1,1,-704.1015625,41.50390625,90.33203125,103.515625
1,1,-992.1875,45.41015625,91.796875,-35.15625
1,1,-1000.0,13.18359375,75.68359375,-66.89453125
1,1,-881.34765625,21.97265625,80.078125,83.0078125
1,1,-673.33984375,49.31640625,89.84375,190.91796875
1,1,-863.76953125,49.31640625,84.47265625,98.6328125
1,1,-1000.0,46.38671875,75.1953125,-56.15234375
1,1,-998.046875,48.33984375,85.9375,-69.3359375
1,1,-984.86328125,44.921875,94.23828125,83.49609375
1,1,-950.1953125,43.45703125,91.30859375,199.21875
1,1,-992.1875,56.15234375,87.890625,125.48828125
1,1,-1000.0,43.9453125,72.265625,-34.66796875
1,1,-997.55859375,54.19921875,83.0078125,-57.12890625
1,1,-1000.0,61.5234375,81.0546875,45.8984375
1,1,-1000.0,42.96875,64.94140625,129.39453125
1,1,-1000.0,44.43359375,71.77734375,110.3515625
1,1,-1000.0,43.9453125,70.3125,-23.4375
1,1,-1000.0,34.1796875,62.5,-96.19140625
1,1,-1000.0,23.4375,64.453125,6.34765625
1,1,-1000.0,17.08984375,71.77734375,156.73828125
1,1,-1000.0,27.34375,75.68359375,158.69140625
1,1,-1000.0,51.26953125,72.75390625,7.8125
1,1,-1000.0,63.4765625,71.77734375,-83.984375
1,1,-1000.0,68.84765625,78.61328125,20.5078125
1,1,-1000.0,56.640625,84.9609375,165.0390625
1,1,-1000.0,25.390625,61.5234375,124.0234375
1,1,-1000.0,29.78515625,55.17578125,-8.7890625
1,1,-1000.0,35.15625,68.84765625,-79.58984375
1,1,-1000.0,21.97265625,64.453125,-17.08984375
1,1,-1000.0,37.59765625,57.6171875,120.60546875
1,1,-1000.0,52.734375,60.546875,152.83203125
1,1,-1000.0,51.7578125,72.265625,26.85546875
1,1,-1000.0,49.8046875,74.70703125,-86.42578125
1,1,-1000.0,49.8046875,75.1953125,-23.92578125
1,1,-1000.0,37.109375,70.80078125,115.72265625
1,1,-1000.0,45.8984375,78.125,198.2421875
1,1,-1000.0,48.33984375,67.3828125,73.2421875
1,1,-1000.0,23.4375,50.29296875,-102.05078125
1,1,-1000.0,30.2734375,56.640625,-49.31640625
1,1,-1000.0,39.55078125,66.40625,119.140625
1,1,-1000.0,31.73828125,77.1484375,172.8515625
1,1,-1000.0,27.34375,79.58984375,57.12890625
1,1,-1000.0,45.8984375,92.28515625,-52.24609375
1,1,-1000.0,47.8515625,84.47265625,-47.36328125
1,1,-1000.0,30.2734375,70.80078125,75.1953125
1,1,-999.0234375,28.3203125,69.3359375,173.33984375
1,1,-1000.0,44.921875,68.84765625,118.1640625
1,1,-986.81640625,55.17578125,79.58984375,-22.4609375
1,1,-1000.0,37.109375,75.1953125,-78.125
1,1,-885.25390625,31.73828125,71.2890625,56.640625
1,1,-537.59765625,42.96875,76.66015625,169.43359375
1,1,-647.4609375,43.9453125,67.87109375,101.5625
1,1,-975.09765625,33.203125,63.96484375,-54.6875
1,1,-999.0234375,21.484375,75.68359375,-66.89453125
1,1,-761.71875,33.203125,82.03125,89.84375
1,1,-421.38671875,41.9921875,83.49609375,186.5234375
1,1,-490.234375,38.0859375,83.0078125,140.13671875
1,1,-867.1875,54.19921875,102.5390625,18.5546875
1,1,-1000.0,53.7109375,99.12109375,-51.7578125
1,1,-826.171875,43.9453125,80.56640625,40.0390625
1,1,-375.0,41.50390625,78.125,168.9453125
1,1,-344.7265625,22.4609375,87.890625,146.484375
1,1,-752.44140625,41.015625,105.95703125,27.34375
1,1,-1000.0,53.22265625,85.9375,-67.87109375
1,1,-833.0078125,38.0859375,63.96484375,0.0
1,1,-382.32421875,47.8515625,69.82421875,153.80859375
1,1,-312.5,44.921875,86.42578125,168.9453125
1,1,-733.3984375,29.296875,91.796875,21.97265625
1,1,-1000.0,44.921875,88.37890625,-75.1953125
1,1,-855.46875,63.4765625,99.12109375,22.94921875
1,1,-400.390625,57.6171875,100.5859375,164.55078125
1,1,-263.671875,41.50390625,83.49609375,161.62109375
1,1,-617.67578125,45.41015625,89.84375,37.59765625
1,1,-977.5390625,44.43359375,88.8671875,-72.265625
1,1,-862.79296875,30.2734375,70.80078125,-20.01953125
1,1,-404.78515625,20.5078125,66.40625,123.046875
1,1,-167.96875,29.78515625,74.21875,167.96875
1,1,-439.453125,47.8515625,79.1015625,56.15234375
1,1,-844.23828125,43.9453125,70.80078125,-72.265625
1,1,-799.8046875,41.9921875,57.6171875,-38.57421875
1,1,-359.375,48.828125,74.70703125,113.76953125
1,1,-110.83984375,53.7109375,101.5625,183.10546875
1,1,-381.8359375,42.48046875,83.984375,60.546875
1,1,-759.27734375,22.94921875,63.96484375,-84.9609375
1,1,-697.265625,29.78515625,67.3828125,-66.40625
1,1,-246.09375,41.50390625,83.0078125,86.42578125
1,1,55.6640625,40.52734375,76.171875,159.66796875
1,1,-154.78515625,44.921875,61.03515625,61.5234375
1,1,-567.3828125,43.45703125,71.2890625,-60.05859375
1,1,-610.83984375,35.15625,80.078125,-62.01171875
1,1,-193.84765625,35.15625,79.1015625,53.7109375
1,1,192.3828125,36.62109375,89.84375,150.390625
1,1,81.0546875,45.41015625,105.46875,95.703125
1,1,-301.26953125,53.7109375,107.91015625,-36.1328125
1,1,-361.81640625,53.7109375,101.07421875,-71.2890625
1,1,54.19921875,42.48046875,94.23828125,45.41015625
1,1,485.83984375,40.52734375,90.33203125,177.734375
1,1,460.44921875,45.41015625,86.42578125,135.25390625
1,1,-27.83203125,35.15625,68.359375,-65.4296875
1,1,-130.859375,47.36328125,70.80078125,-75.68359375
1,1,204.58984375,44.921875,71.77734375,41.015625
1,1,-69.82421875,38.57421875,71.2890625,-44.921875
1,1,-175.29296875,36.1328125,69.82421875,-57.6171875
1,1,222.65625,34.66796875,60.546875,89.35546875
1,1,406.25,44.921875,60.546875,160.64453125
1,1,116.2109375,53.22265625,70.80078125,92.28515625
1,1,-323.73046875,49.8046875,73.73046875,-33.69140625
1,1,-396.484375,39.55078125,60.05859375,-77.1484375
1,1,3.41796875,38.57421875,57.6171875,49.31640625
1,1,359.375,47.36328125,62.5,178.7109375
1,1,197.265625,55.17578125,66.40625,116.2109375
1,1,-241.2109375,41.50390625,65.4296875,-50.78125
1,1,-324.21875,40.52734375,72.265625,-58.59375
1,1,78.125,55.6640625,75.1953125,86.42578125
1,1,464.84375,53.7109375,64.453125,174.8046875
1,1,379.8828125,41.9921875,61.03515625,123.046875
1,1,-24.90234375,21.484375,55.6640625,-21.484375
1,1,-143.06640625,38.57421875,67.3828125,-50.29296875
1,1,180.17578125,52.734375,64.453125,43.45703125
1,1,573.2421875,39.0625,41.50390625,137.20703125
1,1,577.63671875,47.36328125,42.48046875,129.8828125
1,1,200.1953125,60.546875,71.77734375,19.04296875
1,1,-44.43359375,35.15625,57.6171875,-88.8671875
1,1,225.09765625,24.90234375,41.015625,-19.53125
1,1,684.5703125,38.57421875,55.6640625,145.5078125
1,1,741.69921875,34.1796875,59.08203125,134.765625
1,1,368.1640625,18.5546875,54.6875,-23.92578125
1,1,102.5390625,21.484375,57.12890625,-94.7265625
1,1,322.265625,41.50390625,59.5703125,5.37109375
1,1,737.3046875,46.38671875,57.6171875,141.6015625
1,1,798.828125,34.1796875,52.24609375,146.97265625
1,1,428.22265625,35.15625,48.828125,4.39453125
1,1,116.2109375,59.08203125,61.5234375,-80.078125
1,1,266.11328125,62.5,63.96484375,-15.625
1,1,711.42578125,24.90234375,40.52734375,88.8671875
1,1,901.3671875,9.27734375,41.50390625,139.6484375
1,1,606.93359375,36.62109375,58.10546875,34.66796875
1,1,249.51171875,45.8984375,57.12890625,-90.8203125
1,1,337.40234375,44.43359375,59.08203125,-45.41015625
1,1,757.32421875,55.6640625,71.2890625,102.05078125
1,1,945.3125,62.01171875,71.2890625,161.62109375
1,1,687.98828125,65.91796875,61.5234375,67.87109375
1,1,303.22265625,50.78125,49.8046875,-82.51953125
1,1,361.81640625,34.1796875,53.22265625,-65.91796875
1,1,805.6640625,51.26953125,64.453125,115.234375
1,1,998.53515625,36.62109375,42.48046875,156.25
1,1,917.96875,17.578125,40.52734375,40.0390625
1,1,690.91796875,34.1796875,68.359375,-62.98828125
1,1,760.7421875,33.203125,69.82421875,-53.22265625
1,1,970.703125,24.4140625,55.17578125,77.1484375
1,1,965.8203125,29.296875,63.4765625,182.12890625
1,1,961.9140625,34.66796875,71.77734375,110.83984375
1,1,968.26171875,39.55078125,55.6640625,-41.50390625
1,1,966.796875,44.43359375,49.8046875,-45.8984375
1,1,966.796875,44.43359375,52.734375,59.5703125
1,1,966.796875,43.9453125,59.5703125,169.921875
1,1,966.796875,38.57421875,63.4765625,135.25390625
1,1,966.796875,20.99609375,50.29296875,-52.734375
1,1,966.796875,24.90234375,60.05859375,-91.796875
1,1,966.796875,36.62109375,69.3359375,49.8046875
1,1,966.796875,31.73828125,60.546875,162.109375
1,1,966.796875,10.7421875,61.5234375,112.79296875
1,1,966.796875,20.01953125,72.265625,-20.5078125
1,1,966.796875,62.01171875,75.68359375,-58.10546875
1,1,966.796875,63.4765625,62.98828125,17.08984375
1,1,966.30859375,58.10546875,70.3125,141.11328125
1,1,966.796875,66.89453125,81.54296875,135.25390625
1,1,966.796875,72.75390625,83.49609375,8.30078125
1,1,966.30859375,52.734375,54.19921875,-104.4921875
1,1,966.796875,34.1796875,30.2734375,-55.17578125
