timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1586284571.564875,60,1,70.80078125,-49.8046875,-47.36328125,17.08984375,0.0,0
1586284571.5687811,60,1,-8.7890625,-44.921875,-55.17578125,-32.2265625,0.0,0
1586284571.5726874,60,1,-127.9296875,-39.0625,-48.828125,-81.0546875,0.0,0
1586284571.5765936,60,1,-123.53515625,-37.59765625,-51.26953125,-69.82421875,0.0,0
1586284571.5805,60,1,1.953125,-36.62109375,-47.8515625,-11.71875,0.0,0
1586284571.5844061,60,1,83.49609375,-37.109375,-41.9921875,19.04296875,0.0,0
1586284571.5883124,60,1,31.25,-28.3203125,-42.96875,-13.671875,0.0,0
1586284571.5922186,60,1,-92.7734375,-43.45703125,-45.41015625,-61.5234375,0.0,0
1586284571.596125,60,1,-114.74609375,-49.31640625,-54.19921875,-68.359375,0.0,0
1586284571.6000311,60,1,-2.9296875,-51.7578125,-54.6875,-25.87890625,0.0,0
1586284571.6039374,60,1,82.03125,-42.96875,-46.875,10.7421875,0.0,0
1586284571.6078436,60,1,30.2734375,-26.85546875,-53.7109375,-12.6953125,0.0,0
1586284571.61175,60,1,-99.12109375,-29.296875,-58.10546875,-70.80078125,0.0,0
1586284571.6156561,60,1,-130.859375,-27.83203125,-37.109375,-80.078125,0.0,0
1586284571.6195624,60,1,-33.203125,-24.90234375,-28.80859375,-31.25,0.0,0
1586284571.6234686,60,1,63.4765625,-37.59765625,-31.25,18.06640625,0.0,0
1586284571.627375,60,1,32.71484375,-41.015625,-24.90234375,2.44140625,0.0,0
1586284571.6312811,60,1,-95.21484375,-30.2734375,-13.18359375,-61.5234375,0.0,0
1586284571.6351874,60,1,-150.87890625,-36.1328125,-12.20703125,-81.54296875,0.0,0
1586284571.6390936,60,1,-65.4296875,-45.41015625,-23.92578125,-28.80859375,0.0,0
1586284571.643,60,1,45.8984375,-42.48046875,-33.69140625,15.13671875,0.0,0
1586284571.6469061,60,1,36.62109375,-40.0390625,-29.296875,8.30078125,0.0,0
1586284571.6508124,60,1,-75.1953125,-38.0859375,-21.484375,-39.0625,0.0,0
1586284571.6547186,60,1,-138.18359375,-45.8984375,-18.06640625,-73.2421875,0.0,0
1586284571.658625,60,1,-65.4296875,-54.19921875,-16.6015625,-43.9453125,0.0,0
1586284571.6625311,60,1,58.10546875,-26.85546875,-3.41796875,19.04296875,0.0,0
1586284571.6664374,60,1,75.68359375,-12.20703125,6.34765625,35.15625,0.0,0
1586284571.6703436,60,1,-38.0859375,-15.13671875,-2.9296875,-29.296875,0.0,0
1586284571.67425,60,1,-125.9765625,-13.18359375,-14.16015625,-67.87109375,0.0,0
1586284571.6781561,60,1,-67.87109375,-19.53125,-10.7421875,-35.64453125,0.0,0
1586284571.6820624,60,1,62.01171875,-16.6015625,-0.48828125,16.6015625,0.0,0
1586284571.6859686,60,1,88.37890625,-19.53125,2.44140625,30.76171875,0.0,0
1586284571.689875,60,1,-27.34375,-30.76171875,-4.39453125,-26.85546875,0.0,0
1586284571.6937811,60,1,-129.8828125,-22.94921875,-6.34765625,-75.68359375,0.0,0
1586284571.6976874,60,1,-90.8203125,-23.92578125,5.859375,-54.6875,0.0,0
1586284571.7015936,60,1,36.62109375,-33.69140625,16.11328125,1.953125,0.0,0
1586284571.7055,60,1,83.0078125,-32.2265625,8.30078125,17.578125,0.0,0
1586284571.7094061,60,1,-17.578125,-21.97265625,-5.859375,-26.3671875,0.0,0
1586284571.7133124,60,1,-129.39453125,-6.34765625,-16.6015625,-76.66015625,0.0,0
1586284571.7172186,60,1,-101.07421875,-3.41796875,-15.625,-61.03515625,0.0,0
1586284571.721125,60,1,23.4375,-11.23046875,-11.71875,-2.9296875,0.0,0
1586284571.7250311,60,1,86.42578125,-17.578125,-2.9296875,23.92578125,0.0,0
1586284571.7289374,60,1,3.90625,-16.6015625,0.48828125,-6.34765625,0.0,0
1586284571.7328436,60,1,-111.328125,-13.671875,-15.13671875,-67.87109375,0.0,0
1586284571.73675,60,1,-100.09765625,-20.99609375,-23.4375,-64.453125,0.0,0
1586284571.7406561,60,1,22.94921875,-13.671875,-10.7421875,-4.39453125,0.0,0
1586284571.7445624,60,1,93.75,-8.7890625,-8.7890625,38.0859375,0.0,0
1586284571.7484686,60,1,24.4140625,-16.6015625,-16.11328125,10.25390625,0.0,0
1586284571.752375,60,1,-93.75,-18.06640625,-16.6015625,-44.921875,0.0,0
1586284571.7562811,60,1,-112.3046875,-20.5078125,-11.71875,-48.33984375,0.0,0
1586284571.7601874,60,1,-10.25390625,-23.92578125,-6.34765625,3.41796875,0.0,0
1586284571.7640936,60,1,76.66015625,-22.4609375,-7.32421875,35.64453125,0.0,0
1586284571.768,60,1,26.85546875,-21.97265625,-18.06640625,2.44140625,0.0,0
1586284571.7719061,60,1,-104.98046875,-36.1328125,-19.53125,-48.33984375,0.0,0
1586284571.7758124,60,1,-136.23046875,-38.0859375,-24.4140625,-58.59375,0.0,0
1586284571.7797186,60,1,-23.92578125,-36.1328125,-35.15625,-20.5078125,0.0,0
1586284571.783625,60,1,84.47265625,-46.875,-29.78515625,20.99609375,0.0,0
1586284571.7875311,60,1,53.22265625,-32.71484375,-18.06640625,17.08984375,0.0,0
1586284571.7914374,60,1,-70.3125,-17.08984375,-18.5546875,-35.64453125,0.0,0
1586284571.7953436,60,1,-125.9765625,-19.04296875,-27.83203125,-64.453125,0.0,0
1586284571.79925,60,1,-39.0625,-10.7421875,-43.9453125,-23.92578125,0.0,0
1586284571.8031561,60,1,76.66015625,-12.6953125,-52.24609375,28.3203125,0.0,0
1586284571.8070624,60,1,67.87109375,-24.4140625,-48.33984375,14.16015625,0.0,0
1586284571.8109686,60,1,-58.10546875,-23.92578125,-41.015625,-46.38671875,0.0,0
1586284571.814875,60,1,-150.87890625,-23.4375,-28.80859375,-77.1484375,0.0,0
1586284571.8187811,60,1,-67.87109375,-25.87890625,-27.34375,-35.15625,0.0,0
1586284571.8226874,60,1,73.73046875,-25.390625,-44.43359375,21.97265625,0.0,0
1586284571.8265936,60,1,75.1953125,-32.71484375,-36.1328125,14.16015625,0.0,0
1586284571.8305,60,1,-39.55078125,-42.48046875,-20.99609375,-39.0625,0.0,0
1586284571.8344061,60,1,-120.1171875,-22.94921875,-15.625,-62.01171875,0.0,0
1586284571.8383124,60,1,-57.12890625,-13.671875,-2.9296875,-29.296875,0.0,0
1586284571.8422186,60,1,72.75390625,-22.4609375,-8.30078125,30.2734375,0.0,0
1586284571.846125,60,1,87.40234375,-24.90234375,-23.92578125,30.76171875,0.0,0
1586284571.8500311,60,1,-37.59765625,-24.90234375,-42.48046875,-32.2265625,0.0,0
1586284571.8539374,60,1,-133.30078125,-25.390625,-49.31640625,-68.359375,0.0,0
1586284571.8578436,60,1,-85.44921875,-23.4375,-30.2734375,-43.9453125,0.0,0
1586284571.86175,60,1,41.015625,-21.97265625,-21.484375,12.6953125,0.0,0
1586284571.8656561,60,1,82.03125,-30.76171875,-23.4375,30.76171875,0.0,0
1586284571.8695624,60,1,-20.5078125,-35.15625,-21.484375,-28.3203125,0.0,0
1586284571.8734686,60,1,-126.46484375,-21.484375,-17.08984375,-78.61328125,0.0,0
1586284571.877375,60,1,-102.5390625,-23.4375,-31.25,-54.19921875,0.0,0
1586284571.8812811,60,1,21.97265625,-34.1796875,-44.43359375,4.8828125,0.0,0
1586284571.8851874,60,1,83.984375,-36.62109375,-41.015625,18.5546875,0.0,0
1586284571.8890936,60,1,0.9765625,-31.73828125,-38.57421875,-23.4375,0.0,0
1586284571.893,60,1,-113.76953125,-34.1796875,-36.1328125,-74.70703125,0.0,0
1586284571.8969061,60,1,-108.88671875,-34.1796875,-35.15625,-80.56640625,0.0,0
1586284571.9008124,60,1,18.5546875,-29.296875,-37.59765625,-23.92578125,0.0,0
1586284571.9047186,60,1,99.609375,-32.2265625,-38.57421875,13.671875,0.0,0
1586284571.908625,60,1,20.01953125,-37.109375,-31.73828125,-27.83203125,0.0,0
1586284571.9125311,60,1,-100.5859375,-34.66796875,-21.484375,-79.58984375,0.0,0
1586284571.9164374,60,1,-106.4453125,-25.390625,-28.3203125,-76.66015625,0.0,0
1586284571.9203436,60,1,9.27734375,-18.06640625,-31.25,-14.6484375,0.0,0
1586284571.92425,60,1,101.07421875,-6.34765625,-25.390625,41.9921875,0.0,0
1586284571.9281561,60,1,42.96875,-8.30078125,-32.71484375,5.859375,0.0,0
1586284571.9320624,60,1,-88.8671875,-24.90234375,-37.59765625,-62.5,0.0,0
1586284571.9359686,60,1,-110.3515625,-28.80859375,-40.52734375,-65.91796875,0.0,0
1586284571.939875,60,1,8.7890625,-24.4140625,-44.921875,-4.39453125,0.0,0
1586284571.9437811,60,1,111.81640625,-20.5078125,-38.57421875,41.015625,0.0,0
1586284571.9476874,60,1,59.08203125,-27.34375,-44.43359375,14.6484375,0.0,0
1586284571.9515936,60,1,-83.49609375,-33.203125,-45.41015625,-40.52734375,0.0,0
1586284571.9555,60,1,-109.86328125,-17.08984375,-20.99609375,-55.17578125,0.0,0
1586284571.9594061,60,1,-1.953125,-18.5546875,-16.11328125,-8.7890625,0.0,0
1586284571.9633124,60,1,94.7265625,-19.04296875,-28.3203125,40.52734375,0.0,0
1586284571.9672186,60,1,64.94140625,-12.6953125,-27.34375,27.34375,0.0,0
1586284571.971125,60,1,-59.5703125,-19.04296875,-20.5078125,-38.57421875,0.0,0
1586284571.9750311,60,1,-125.9765625,-20.01953125,-22.4609375,-71.2890625,0.0,0
1586284571.9789374,60,1,-35.15625,-25.87890625,-14.16015625,-18.5546875,0.0,0
1586284571.9828436,60,1,85.44921875,-26.3671875,-3.41796875,33.69140625,0.0,0
1586284571.98675,60,1,79.58984375,-8.30078125,-8.7890625,12.6953125,0.0,0
1586284571.9906561,60,1,-45.41015625,-3.90625,-17.08984375,-45.41015625,0.0,0
1586284571.9945624,60,1,-131.8359375,-14.6484375,-24.4140625,-72.265625,0.0,0
1586284571.9984686,60,1,-71.2890625,-26.3671875,-25.87890625,-40.52734375,0.0,0
1586284572.002375,60,1,55.6640625,-20.99609375,-27.83203125,15.625,0.0,0
1586284572.0062811,60,1,81.0546875,-9.27734375,-38.57421875,25.390625,0.0,0
1586284572.0101874,60,1,-25.390625,-11.71875,-46.38671875,-32.2265625,0.0,0
1586284572.0140936,60,1,-119.62890625,-22.4609375,-38.57421875,-66.40625,0.0,0
1586284572.018,60,1,-71.77734375,-16.11328125,-36.62109375,-46.38671875,0.0,0
1586284572.0219061,60,1,53.7109375,-7.32421875,-44.43359375,0.0,0.0,0
1586284572.0258124,60,1,86.42578125,-8.7890625,-37.109375,20.99609375,0.0,0
1586284572.0297186,60,1,-5.37109375,-15.625,-26.85546875,-22.94921875,0.0,0
1586284572.033625,60,1,-108.88671875,-20.99609375,-30.2734375,-71.2890625,0.0,0
